Fund Name,What is the 1-month performance figure?,What is the 3-month performance figure?,What is the 6-month performance figure?,What is the 1-year performance figure?,What is the 3-year performance figure?,What is the 5-year performance figure?,What are the top 10 holdings of the fund_ along with their weights?,What is the asset allocation breakdown for the fund?,What is the geographic allocation of the fund’s investments?,What is the sector breakdown of the fund?,What is the credit quality of the bonds held in the fund?,What is the duration of the bonds held in the fund?,How is the performance of the fund measured against its benchmark?,What is the cumulative performance of the fund for the last month?,What is the quartile ranking of the fund compared to its peers?,Are there any risk warnings specific to this fund?,What is the market capitalisation of the equities held by the fund?,What types of fixed interest assets does the fund hold?,What percentage of the fund is allocated to cash/money market investments?,What are the regulated frameworks under which the fund operates?
Aviva_Pension_MyM_CT_Responsible_Global_Equity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,20.84%,11.54%,NA,"<MICROSOFT CORPORATION,6.4%>,<NVIDIA CORPORATION,5.4%>,<APPLE,5.3%>,<LINDE PUBLIC LIMITED COMPANY,3.8%>,<MASTERCARD INCORPORATED,3.8%>,<SCHNEIDER ELECTRIC SE,2.8%>,<KEYENCE CORPORATION,2.7%>,<THERMO FISHER SCIENTIFIC,2.7%>,<INTUIT,2.3%>,<WASTE CONNECTIONS INC,2.3%>","<North American Equities,60.5%>,<Developed Europe Equities,20.0%>,<Japan Equities,6.7%>,<UK Equities,5.3%>,<Emerging Asia Equities,3.2%>,<Real Estate Investment,2.2%>,<Trusts,2.2%>,<Developed Asia Equities (ex Japan),1.7%>,<Cash/Money Market,0.5%>","<North America,62.6%>,<Developed Europe,20.0%>,<Japan,6.7%>,<UK,5.3%>,<Emerging Asia,3.2%>,<Australia & New Zealand,1.7%>","<Technology,29.0%>,<Industrials,26.4%>,<Health Care,17.8%>,<Consumer Discretionary,8.4%>,<Financials,5.6%>,<Basic Materials,3.8%>,<Utilities,3.7%>,<Real Estate,2.2%>,<Consumer Staples,1.7%>,<Energy,1.0%>,<Cash/Money Market,0.5%>",NA,NA,NA,NA,NA,Yes,"<Mega (Greater than 50bn),36.5%>,<Large (3bn-50bn),50.3%>,<Medium (1bn-3bn),1.6%>,<Small (50mn-1bn),0.0%>,<Micro (Less than 50mn),0.0%>,<Other,11.1%>,<Cash/Money Market,0.5%>",NA,0.50%,NA
Aviva_Pension_MyM_CT_UK_Equity_Income_[Unnamed_Life-Pension_fund_unit],NA,30.76%,NA,18.92%,20.86%,36.62%,"<IMPERIAL BRANDS,7.2%>,<UNILEVER,6.0%>,<GSK,5.1%>,<RS GROUP,4.5%>,<PEARSON,4.1%>,<ASTRAZENECA,3.4%>,<RENTOKIL INITIAL,3.1%>,<MARKS & SPENCER GROUP P.L.C.,3.0%>,<ITV,2.7%>,<BT GROUP,2.7%>","<UK Equities,95.2%>,<Real Estate Investment Trusts,4.0%>,<Cash/Money Market,0.8%>","<United Kingdom,95.2%>,<Direct Property and REITs,4.0%>,<Cash/Money Market,0.8%>","<Industrials,28.5%>,<Consumer Staples,23.1%>,<Health Care,12.6%>,<Financials,10.3%>,<Consumer Discretionary,9.5%>,<Real Estate,4.0%>,<Basic Materials,3.9%>,<Utilities,3.6%>,<Telecommunications,2.7%>,<Other,0.9%>,<Cash/Money Market,0.8%>",NA,NA,NA,NA,2,Yes,"<Mega (Greater than 50bn),9.4%>,<Large (3bn-50bn),50.8%>,<Medium (1bn-3bn),16.4%>,<Small (50m-1bn),4.4%>,<Micro (Less than 50m),0.0%>,<Other,18.2%>,<Cash/Money Market,0.8%>",NA,0.80%,NA
Aviva_Pension_MyM_CT_UK_Social_Bond_Fund_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,7.88%,-1.49%,1.40%,"<0 7/8% Green Gilt 2033,3.9%>,<ASTER TREASURY PLC 5.412 20/12/2032,2.6%>,<SALTIRE FINANCE PLC 4.818 01/12/2033,2.5%>,<SCOTTISH HYDRO ELECTRIC 1.50 24/03/2028,2.4%>,<LCR FINANCE PLC 4.50 01/12/2028,2.4%>,<ANGLIAN WATER SERV FIN 1.625 10/08/2025,2.4%>,<BARCLAYS PLC 1.70 03/11/2026,2.3%>,<NATWEST GROUP PLC 0.78 26/02/2030,2.3%>,<WELLCOME TRUST LTD/THE 1.125 21/01/2027,2.2%>,<AIB GROUP PLC 4.625 23/07/2029,2.0%>","<UK Corporate Bonds,52.0%>,<International Bonds,32.4%>,<UK Gilts,4.9%>,<Alternative Trading,0.6%>,<Strategies,6.1%>,<Cash/Money Market,4.0%>","<UK,56.9%>,<Developed Europe,15.3%>,<North America,3.5%>,<Emerging Asia,1.2%>",NA,"<AAA,11.4%>,<AA,16.7%>,<A,24.5%>,<BBB,25.5%>,<BB,1.1%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,4.0%>,<Not Rated,10.2%>,<Non Debt,6.7%>",NA,NA,NA,NA,Yes,NA,NA,4.00%,NA
Aviva_Pension_MyM_Fidelity_Sustainable_Moneybuilder_Income_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,8.95%,-10.40%,-4.63%,"<WESTFIELD STRATFORD CITY FINANCE NO 2 PLC 1.642%,1.8%>,<CHANNEL LINK ENTERPRIFIN PLC 3.043%,1.8%>,<UPP BOND 1 ISSUER PLC 4.920%,1.6%>,<HSBC BANK FND 5.844%,1.5%>,<METROCENTRE FINANCE PLC VAR 12/06/2028,1.5%>,<ASPIRE DEFENCE FINANCE PLC 4.674%,1.5%>,<HEATHROW EDG 6.45%,1.5%>,<DIGNITY FINANCE PLC 3.546%,1.5%>,<THAMES WATER UTILITY FIN PLC 6.75%,1.4%>,<41% Treasury Gilt 2040,1.3%>","<UK Corporate Bonds,58.4%>,<International Bonds,23.6%>,<UK Gilts,3.8%>,<Money Market,0.3%>,<Alternative Trading,0.1%>,<Strategies,13.1%>,<Cash/Money Market,0.6%>","<UK,62.3%>,<Dev Europe,11.9%>,<North America,5.0%>",NA,"<AAA,1.6%>,<AA,5.5%>,<A,20.1%>,<BBB,39.6%>,<BB,3.1%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,0.9%>,<Not Rated,16.0%>,<Non Debt,13.3%>",NA,NA,10.41%,3,Yes,NA,Corporate Bonds,0.30%,NA
Aviva_Pension_MyM_HSBC_Global_Sukuk_Index_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,NA,NA,NA,"<KSA Sukuk Ltd,5.268% 25/10/2028,4.0%>,<KSA Sukuk Ltd 3.628% 20/04/2027,3.3%>,<KSA Sukuk Ltd 4.511% 22/05/2033,3.0%>,<SA Global Sukuk Ltd 2.694% 16/06/2031,2.6%>,<Suci Second Investment Co 6% 25/10/2028,2.5%>,<KSA Sukuk Ltd 4.274% 22/05/2029,2.4%>,<KSA Sukuk Ltd 5.25% 04/06/2034,2.0%>,<Saudi Electricity Sukuk Program 5.684% 11/04/2053,1.8%>,<Saudi Electricity Sukuk Program 5.194% 13/02/2034,1.7%>,<Perusahaan Penebit SBSN (Govt Of) 4.55% 29/03/26,1.7%>","<International Bonds,73.9%>,<UK Corporate Bonds,21.8%>,<Other,2.9%>,<Cash/Money Market,1.4%>","<North America,25.0%>,<UK,21.8%>,<Developed Europe,15.1%>,<Emerging Asia,15.3%>,<Middle East & Africa,2.3%>,<Developed Asia,1.0%>",NA,"<AAA,0.0%>,<AA,3.9%>,<A,54.4%>,<BBB,23.7%>,<BB,5.1%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,1.4%>,<Not Rated,8.6%>,<Non Debt,2.9%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>",NA,NA,NA,NA
Aviva_Pension_MyM_HSBC_Islamic_Global_Equity_Index_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,31.96%,38.74%,116.73%,"<Microsoft Corporation,8.1%>,<Apple,7.9%>,<NVIDIA Corporation,7.8%>,<Amazon.com,6.3%>,<Meta Platforms,4.0%>,<Alphabet Inc,3.8%>,<Alphabet Inc,3.2%>,<Eli Lilly and Company,2.6%>,<Broadcom Inc,2.5%>,<Tesla,2.0%>","<North American Equities,78.6%>,<Developed Europe Equities,11.1%>,<Japan Equities,2.9%>,<Emerging Asia Equities,2.9%>,<UK Equities,2.3%>,<Developed Asia Equities,1.3%>,<Real Estate Investment Trusts,0.4%>,<Non-Classified Equities,0.3%>,<South & Central America Equities,0.2%>","<North America,78.6%>,<Developed Europe,11.1%>,<Japan,2.9%>,<Emerging Asia,2.9%>,<UK,2.3%>","<Technology,48.0%>,<Health Care,16.4%>,<Consumer Discretionary,14.4%>,<Industrials,7.6%>,<Consumer Staples,4.9%>,<Energy,3.9%>,<Basic Materials,2.2%>,<Telecommunications,1.6%>,<Financials,0.5%>,<Real Estate,0.4%>",NA,NA,NA,NA,1,"<General Risk,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,Yes>","<Mega (Greater than 50bn),56.4%>,<Large (3bn-50bn),21.2%>,<Medium (1bn-3bn),0.0%>",NA,NA,NA
Aviva_Pension_MyM_HSBC_Shariah_Multi_Asset_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,NA,NA,NA,"<Isdb Trust Services NO 2 Sarl 4.906% 03/10/2028,6.0%>,<International Islamic Liquidity Mana % 03/10/2024,2.3%>,<International Islamic Liquidity M 5.4% 03/10/2024,1.9%>,<MICROSOFT CORPORATION,1.6%>,<SAMSUNG ELECTRONICS CO. LTD,1.4%>,<KSA Sukuk Ltd 5.268% 25/10/2028,0.7%>,<KSA Sukuk Ltd 3.628% 20/04/2027,0.6%>,<KSA Sukuk Ltd 4.511% 22/05/2033,0.5%>,<SA Global Sukuk Ltd 2.694% 17/06/2031,0.5%>,<Suci Second Investment Co 6% 25/10/2028,0.5%>","<Commodities,28.7%>,<Managed Funds,22.3%>,<International Bonds,19.3%>,<International Equities,12.9%>,<Alternative Trading Strategies,4.6%>,<UK Corporate Bonds,3.9%>,<Property,0.4%>,<UK Equities,0.3%>,<Other,4.9%>,<Cash/Money Market,2.6%>","<North America,10.0%>,<UK,4.2%>,<Dev. Europe,31.1%>,<Emerging Europe,0.1%>,<Middle East & Africa,1.2%>,<Emerging,5.8%>,<Developed Asia,0.3%>,<South & Central America,0.3%>","<Commodities,28.7%>,<Managed Funds,22.3%>,<Alternative Trading Strategies,4.6%>,<Technology,3.7%>,<Telecommunications,1.8%>,<Health Care,1.6%>,<Industrials,1.5%>,<Energy,1.4%>,<Basic Materials,0.9%>,<Consumer Discretionary,0.9%>,<Real Estate,0.6%>,<Consumer Staples,0.6%>,<Other,28.7%>,<Cash/Money Market,2.6%>","<AAA,6.0%>,<AA,0.7%>,<A,9.8%>,<BBB,4.3%>,<BB,0.9%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,2.7%>,<Not Rated,1.6%>,<Non Debt,74.1%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,2.60%,NA
Aviva_Pension_MyM_Invesco_Corporate_Bond_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,11.30%,-1.86%,4.48%,"<JPMORGAN CHASE & CO FLTG 0.991 APR 28 26,2.1%>,<UNITED KINGDOM VI 1.250 NOV 22 54 REGS,1.7%>,<33% Treasury Gilt 2053,1.6%>,<LLOYDS BANKING GROUP FLTG 2.707 DEC 03 35,1.6%>,<NESTLE CAPITAL CORP 4.500 MAR 22 29 REGS,1.5%>,<SPD FINANCE UK PLC 5.875 JUL 17 26,1.3%>,<CREDIT SUISSE GP FLTG 2.125 SEP 12 25,1.2%>,<AT&T INC 4.375 SEP 14 29,1.2%>,<BNP PARIBAS FLTG 2.000 MAY 24 31,1.2%>,<BRITISH LAND CO 5.357 MAR 31 28,1.2%>","<International Bonds,46.6%>,<UK Corporate Bonds,37.5%>,<UK Gilts,4.9%>,<Managed Funds,0.7%>,<Alternative Trading,0.0%>,<Other,9.7%>,<Cash/Money Market,0.4%>","<North America,17.2%>,<UK,42.4%>,<Dev. Europe,22.1%>",NA,"<AAA,0.9%>,<AA,11.4%>,<A,25.9%>,<BBB,42.4%>,<BB,1.2%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,0.4%>,<Not Rated,7.5%>,<Non Debt,10.5%>",NA,NA,NA,1,"<A - General,Yes>,<B - Foreign Exchange Risk,No>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,Yes>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,0.40%,NA
Aviva_Pension_MyM_Janus_Henderson_UK_Smaller_Companies_[Unnamed_Life-Pension_fund_unit],2.64%,21.72%,24.95%,24.95%,-20.80%,13.54%,"<BELLWAY P L C,3.3%>,<PARAGON BANKING GROUP,3.2%>,<MITCHELLS & BUTLERS,2.9%>,<BALFOUR BEATTY,2.9%>,<FUTURE,2.5%>,<JUST GROUP,2.2%>,<GAMMA COMMUNICATIONS,2.1%>,<OXFORD INSTRUMENTS,2.1%>,<VOLUTION GROUP,2.0%>,<OSB GROUP,2.0%>","<UK Equities,96.5%>,<Developed Asia Equities (ex Japan),0.9%>,<Developed Europe Equities,0.8%>,<Real Estate Investment,0.5%>,<North American Equities,0.2%>,<Cash/Money Market,1.1%>","<United Kingdom,96.5%>,<Singapore,0.9%>,<Germany,0.8%>,<Direct Property and REITs,0.5%>,<United States,0.2%>,<Other,0.0%>,<Cash/Money Market,1.1%>","<Industrials,35.0%>,<Consumer Discretionary,22.2%>,<Financials,16.8%>,<Technology,9.6%>,<Real Estate,5.8%>,<Energy,2.8%>,<Telecommunications,2.7%>,<Basic Materials,2.0%>,<Health Care,1.7%>,<Consumer Staples,0.4%>,<Alternative Trading Strategies,0.0%>,<Cash/Money Market,1.1%>",NA,NA,NA,2.64%,1,Yes,"<Mega (Greater than 50bn),0.0%>,<Large (3bn-50bn),7.1%>,<Medium (1bn-3bn),29.1%>,<Small (50m-1bn),34.3%>,<Micro (Less than 50m),0.0%>,<Other,28.3%>,<Cash/Money Market,1.1%>",NA,1.10%,NA
Aviva_Pension_MyM_JPM_Emerging_Markets_Equity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,12.04%,-15.18%,8.84%,"<Taiwan Semiconductor Manufacturing Company Limited,9.2%>,<Samsung Electronics Co. Ltd,6.0%>,<Tencent Holdings Limited,5.8%>,<SK Hynix,3.8%>,<NU Holdings,2.8%>,<Mercadolibre,2.6%>,<Banco Bilbao Vizcaya Argentaria S.A.,2.3%>,<Kia Motors Corp,2.2%>,<HDFC Bank Limited,2.0%>,<Bank Rakyat Indonesia (Persero) Tbk PT,1.7%>","<Emerging Asia Equities,57.8%>,<North American Equities,14.4%>,<South & Central America Equities,8.2%>,<Developed Europe Equities,3.9%>,<Emerging Europe Equities,3.7%>,<Middle East & Africa Equities,3.5%>,<Developed Asia Equities (ex Japan),3.3%>,<Alternative - Trading Strategies,0.6%>,<Short-maturity Developed Investment Grade Bonds,0.1%>,<North American High Yield Bonds,0.0%>,<Developed Asia High Yield Bonds (ex Japan),0.0%>,<UK High Yield Bonds,0.0%>,<Other,3.6%>,<Cash/Money Market,0.8%>","<Taiwan,15.5%>,<United States,14.4%>,<India,13.8%>,<China,13.2%>,<South Korea,12.0%>,<Brazil,4.8%>,<Turkey,3.7%>,<South Africa,3.5%>,<Other,18.3%>,<Cash/Money Market,0.8%>","<Technology,28.1%>,<Financials,23.3%>,<Consumer Discretionary,16.4%>,<Industrials,9.1%>,<Telecommunications,0.7%>,<Consumer Staples,6.7%>,<Energy,2.0%>,<Health Care,1.5%>,<Basic Materials,0.7%>,<Alternative Trading Strategies,0.6%>,<Other,3.8%>,<Cash/Money Market,0.8%>",NA,NA,NA,10.19%,3,"<General Risk,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,Yes>,<Smaller Companies,No>,<Fixed Interest,No>,<Derivatives,No>,<Cash/Money Market Funds,No>,<Property Funds,No>,<High Yield Bonds,No>,<Reinsured Funds,No>,<Long Term Asset Funds,No>",NA,NA,0.80%,NA
Aviva_Pension_MyM_JPM_Natural_Resources_[Unnamed_Life-Pension_fund_unit],0.43%,6.31%,30.92%,4.17%,33.34%,67.86%,"<EXXON MOBIL CORPORATION,8.5%>,<RIO TINTO,6.3%>,<FREEPORT-MCMORAN INC,5.6%>,<NEWMONT CORPORATION,4.6%>,<SHELL,4.2%>,<TOTAL SE,3.9%>,<BHP GROUP LIMITED,3.4%>,<GLENCORE,3.3%>,<CANADIAN NATURAL RESOURCES LIMITED,2.9%>,<CONOCOPHILLIPS,2.8%>","<North American Equities,59.3%>,<UK Equities,14.8%>,<Developed Asia Equities (ex Japan),10.9%>,<Developed Europe Equities,7.2%>,<South & Central America Equities,3.1%>,<Middle East & Africa Equities,2.4%>,<Emerging Asia Equities,1.7%>,<Managed Funds,1.5%>","<United States,41.9%>,<Canada,17.4%>,<United Kingdom,14.8%>,<Australia,10.9%>,<France,4.4%>,<South Africa,2.4%>,<Sweden,1.7%>,<China,1.7%>,<Other,5.6%>,<Cash/Money Market,-0.8%>","<Basic Materials,53.0%>,<Energy,45.8%>,<Managed Funds,1.5%>,<Industrials,0.5%>",NA,NA,NA,4.17%,"<3,1,1,1,2>",Yes,"<Mega (Greater than 50bn),29.5%>,<Large (3bn-50bn),50.0%>,<Medium (1bn-3bn),4.0%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,17.3%>,<Cash/Money Market,-0.8%>",NA,-0.80%,NA
Aviva_Pension_MyM_JPM_Unconstrained_Bond_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,9.52%,NA,NA,"<Federal National Mortgage Association DBA Federal National Mortgage Association,5.6%>,<Government National Mortgage Association,5.5%>,<Government National Mortgage Association,3.5%>,<Federal National Mortgage Association DBA Federal National Mortgage Association,1.6%>,<United Mexican States,1.1%>,<A10 Securitization 2012-RAF1,0.9%>,<European Union,0.8%>,<Federal National Mortgage Association DBA Federal National Mortgage Association,0.8%>,<Federative Republic of Brazil,0.7%>,<United Mexican States,0.6%>","<International Bonds,77.1%>,<UK Corporate Bonds,4.3%>,<Alternative Trading,2.7%>,<Money Market,1.5%>,<International Equities,0.0%>,<Other,17.8%>","<North America,49.1%>,<UK,4.3%>,<Emerging Europe,1.5%>,<South & Central America,3.9%>,<Middle East & Africa,1.6%>,<Emerging Asia,0.2%>,<Developed Asia,0.1%>,<Australia & New Zealand,0.3%>",NA,"<AAA,2.9%>,<AA,2.3%>,<A,14.4%>,<BBB,21.9%>,<BB,8.6%>,<B,2.8%>,<Less than CCC,0.8%>,<Cash/Money Market,-1.9%>,<Not Rated,27.7%>,<Non Debt,20.5%>","<Greater than 15Yr Maturity,28.2%>,<10Yr - 15Yr Maturity,4.0%>,<5Yr - 10Yr Maturity,21.0%>,<Less than 5Yr Maturity,28.2%>,<Cash/Money Market,-1.9%>",NA,NA,1,Yes,NA,NA,1.50%,NA
Aviva_Pension_MyM_L&G_Absolute_Return_Bond_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,6.39%,11.90%,15.93%,"<United Kingdom,5.4%>,<Toronto-Dominion Bank,2.7%>,<Lloyds Banking Group,1.8%>,<Barclays,1.8%>,<Avis Budget Group,1.6%>,<Banco Santander,1.5%>,<JPMorgan Chase & Co,1.5%>,<HSBC Holdings,1.4%>,<UBS Group,1.3%>,<Morgan Stanley,1.2%>",NA,NA,NA,NA,NA,NA,NA,2,Yes,NA,NA,2.70%,NA
Aviva_Pension_MyM_Legal_&_General_(PMC)_FTSE4Good_Developed_Equity_Index_[Unnamed_Life-Pension_fund_unit],20.74%,11.98%,-1.87%,26.29%,33.83%,85.05%,"<APPLE,7.3%>,<MICROSOFT CORPORATION,6.8%>,<NVIDIA CORPORATION,6.2%>,<ALPHABET INC,2.1%>,<ELI LILLY AND COMPANY,1.8%>,<ALPHABET INC,1.8%>,<HOLDINGS LESS THAN 0.01%,1.7%>,<BROADCOM,1.6%>,<UNITEDHEALTH GROUP INCORPORATED,1.2%>,<VISA,0.9%>","<North American Equities,62.9%>,<Developed Europe Equities,18.4%>,<Japan Equities,6.9%>,<UK Equities,4.8%>,<Developed Asia Equities (ex Japan),3.3%>,<Real Estate Investment Trusts,0.6%>,<Non-Classified Equities,0.5%>,<Emerging Asia Equities,0.4%>,<Developed Europe High Yield Bonds,0.1%>,<Middle East & Africa Equities,0.1%>,<Managed Funds,0.1%>,<Emerging Europe Equities,0.1%>,<Other,1.7%>,<Cash/Money Market,0.5%>","<North America,62.9%>,<UK,4.8%>,<Developed Europe,18.4%>,<Japan,6.9%>,<Emerging Europe,0.1%>,<Emerging Asia,0.1%>,<Developed Asia,0.8%>,<Middle East & Africa,0.1%>","<Technology,35.4%>,<Financials,14.4%>,<Health Care,12.8%>,<Industrials,11.5%>,<Consumer Staples,4.4%>,<Energy,3.5%>,<Basic Materials,3.2%>,<Telecommunications,2.6%>,<Utilities,1.4%>,<Real Estate,1.1%>,<Managed Funds,0.1%>,<Other,2.1%>,<Cash/Money Market,0.5%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),47.1%>,<Large (3bn-50bn),43.4%>,<Medium (1bn-3bn),0.1%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,8.9%>,<Cash/Money Market,0.5%>","<Fixed Interest,No>","<Cash/Money Market,0.5%>",NA
Aviva_Pension_MyM_Legal_&_General_(PMC)_FTSE4Good_UK_Equity_Index_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,14.72%,20.57%,28.06%,"<ASTRAZENECA,9.8%>,<HSBC HOLDINGS,6.7%>,<SHELL,6.5%>,<UNILEVER,6.5%>,<RELX,3.5%>,<GSK,3.5%>,<DIOGE,2.9%>,<RIO TINTO,2.7%>,<LONDON STOCK EXCHANGE GROUP,2.7%>,<SHELL,2.6%>","<UK Equities,97.3%>,<Real Estate Investment,1.6%>,<Trusts,0.7%>,<Developed Europe Equities,0.7%>,<Middle East & Africa,0.1%>,<Developed Asia Equities (ex Japan),0.0%>,<Other,0.1%>,<Cash/Money Market,0.1%>","<UK,97.3%>,<Developed Europe,0.7%>,<Middle East & Africa,0.1%>","<Financials,23.5%>,<Health Care,16.5%>,<Consumer Staples,14.6%>,<Consumer Discretionary,11.9%>,<Energy,9.4%>,<Industrials,7.6%>,<Utilities,5.0%>,<Real Estate,2.4%>,<Telecommunications,1.5%>,<Technology,1.4%>,<Other,0.7%>,<Cash/Money Market,0.1%>",NA,NA,NA,13.74%,2,Yes,"<Mega,32.2%>,<Large,48.6%>,<Medium,5.3%>,<Small,1.4%>,<Micro,0.0%>,<Other,12.3%>,<Cash/Money Market,0.1%>",NA,"<Cash/Money Market,0.1%>",NA
Aviva_Pension_MyM_Legal_&_General_(PMC)_Future_World_Annuity_Aware_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,10.47%,-23.10%,-23.10%,"<41% Treasury Gilt 2049,9.4%>,<0.5% Treasury Gilt 2035,4.9%>,<41% Treasury Gilt 2042,4.2%>,<3.1% Treasury Gilt 2045,4.0%>,<33% Treasury Gilt 2053,3.8%>,<4% Treasury Gilt 2060,3.3%>,<41% Treasury Gilt 2055,2.5%>,<ZURICH FINANCE 5.125 23/11/52MTN,1.5%>,<1.4% Treasury Gilt 2051,1.4%>,<1 1/8 Treasury 2039,1.3%>","<UK Gilts,37.1%>,<International Bonds,29.5%>,<UK Corporate Bonds,29.4%>,<Other,2.4%>,<Cash/Money Market,1.5%>","<North America,12.2%>,<UK,66.5%>,<Dev. Europe,8.8%>,<Japan,0.4%>,<South & Central America,0.9%>,<Middle East & Africa,0.1%>,<Developed Asia,0.1%>,<Australia & New Zealand,1.5%>",NA,"<AAA,1.2%>,<AA,42.8%>,<A,30.5%>,<BBB,17.0%>,<BB,0.4%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,1.5%>,<Not Rated,4.2%>,<Non Debt,2.4%>",NA,NA,10.47%,2,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,Yes>,<K - Long Term Asset Funds,No>",NA,NA,1.50%,NA
Aviva_Pension_MyM_Legal_&_General_(PMC)_Global_Real_Estate_Equity_Index_[Unnamed_Life-Pension_fund_unit],18.02%,24.01%,-1.82%,2.87%,75.39%,NA,"<PROLOGIS,6.4%>,<EQUINIX,4.3%>,<WELLTOWER,3.9%>,<PUBLIC STORAGE OPERATING COMPANY,2.9%>,<Simon Property Group Inc Simon Property Group Inc USD0.0001,2.9%>,<Realty Income Corporation Realty Income Corporation USD1,2.9%>,<DIGITAL REALTY TRUST,2.6%>,<GOODMAN GROUP,2.3%>,<EXTRA SPACE STORAGE INC,2.0%>,<VICI PPTYS INC,1.9%>","<Real Estate Investment Trusts,67.4%>,<North American Equities,14.0%>,<Developed Europe Equities,6.1%>,<Japan Equities,4.8%>,<Developed Asia Equities (ex Japan),3.0%>,<Managed Funds,2.2%>,<UK Equities,1.2%>,<Middle East & Africa Equities,0.3%>,<Non-Classified Equities,0.1%>,<Emerging Asia Equities,0.0%>,<ETFs,0.0%>,<Other,0.3%>,<Cash/Money Market,0.6%>","<North America,18.7%>,<UK,1.2%>,<Developed Europe,6.1%>,<Japan,4.8%>,<Middle East & Africa,0.3%>,<Emerging Asia,2.5%>,<Cash/Money Market,0.6%>,<Australia & New Zealand,0.7%>","<Real Estate,96.5%>,<Managed Funds,2.2%>,<Consumer Discretionary,0.0%>,<Commodities,0.0%>,<Other,0.6%>,<Cash/Money Market,0.6%>",NA,NA,NA,NA,NA,Yes,"<Mega (Greater than 50bn),2.9%>,<Large (3bn-50bn),72.2%>,<Medium (1bn-3bn),15.0%>,<Small (50m-1bn),4.5%>,<Micro (Less than 50m),0.0%>,<Other,4.8%>,<Cash/Money Market,0.6%>",NA,NA,NA
